Title;Step;Expected result;Area Path;Iteration Path;QA Priority;Assigned To;Preconditions;;https://cloud-qa.softvig.pl/
User login with valid credentials;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;;;
;Go to: https://cloud-qa.softvig.pl/;Login page is loaded.;;;;;;;
;In field 'Adres e-mail' put valid e-mail address.;Field is filled in.;;;;;;;
;In field 'Hasło' put valid password.;Field is filled in.;;;;;;;
;Click 'Logowanie'.;User is logged in, main page is loaded.;;;;;;;
;End of test.;;;;;;;;
User login - valid e-mail, invalid password;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;;;
;Go to: https://cloud-qa.softvig.pl/;Login page is loaded.;;;;;;;
;In field 'Adres e-mail' put valid e-mail address.;Field is filled in.;;;;;;;
;In field 'Hasło' put invalid password;Field is filled in.;;;;;;;
;Click 'Logowanie'.;Error message appears: 'Błędny login lub hasło';;;;;;;
;End of test.;;;;;;;;
User login - invalid e-mail, valid password;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;;;
;Go to: https://cloud-qa.softvig.pl/;Login page is loaded.;;;;;;;
;In field 'Adres e-mail' put e-mail address for which no account has been created but in correct format.;Field is filled in.;;;;;;;
;In field 'Hasło' put valid password;Field is filled in.;;;;;;;
;Click 'Logowanie'.;Error message appears: 'Błędny login lub hasło';;;;;;;
;End of test.;;;;;;;;
User login - invalid e-mail format;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;;;
;Go to: https://cloud-qa.softvig.pl/;Login page is loaded.;;;;;;;
;In field 'Adres e-mail' put e-mail address in incorrect format, e.g. without @;Red exclamation mark appears in the field.;;;;;;;
;Click on exclamation mark.;Error message appears: 'Niepoprawny adres e-mail';;;;;;;
;Click 'Logowanie'.;Button is not active.;;;;;;;
;End of test.;;;;;;;;
User login - empty credentails;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;;;
;Go to: https://cloud-qa.softvig.pl/;Login page is loaded.;;;;;;;
;Leave fields 'Adres e-mail' and 'Hasło' empty.;Fields are empty;;;;;;;
;Click 'Logowanie'.;Red exclamation marks appear in the fields.;;;;;;;
;Click on exclamation mark in 'Adres e-mail' field.;Error message appears: 'Adres e-mail jest wymagany';;;;;;;
;Click on exclamation mark in 'Hasło' field.;Error message appears: 'Hasło jest wymagane';;;;;;;
;Click 'Logowanie'.;Button is not active.;;;;;;;
;End of test.;;;;;;;;
User login - invalid e-mail, invalid password;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;;;
;Go to: https://cloud-qa.softvig.pl/;Login page is loaded.;;;;;;;
;In field 'Adres e-mail' put e-mail address for which no account has been created but in correct format.;Field is filled in.;;;;;;;
;In field 'Hasło' put invalid password;Field is filled in.;;;;;;;
;Click 'Logowanie'.;Error message appears: 'Błędny login lub hasło';;;;;;;
;End of test.;;;;;;;;
User login - blocking the account;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;;;
;Go to: https://cloud-qa.softvig.pl/;Login page is loaded.;;;;;;;
;In field 'Adres e-mail' put valid e-mail address.;Field is filled in.;;;;;;;
;In field 'Hasło' put invalid password.;Field is filled in.;;;;;;;
;Click 'Logowanie'.;Error message appears: 'Błędny login lub hasło';;;;;;;
;Repeat steps 3-4 two more times.;User account is blocked, error message appears: 'Twoje konto zostało zablokowane. Odzyskaj hasło korzystając z operacji poniżej.';;;;;;;
;End of test.;;;;;;;;
User login - unblocking the account;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;;;
;Block user account (see <link>);User account is blocked.;;;;;;;
;Below error message, put valid e-mail address in 'Adres e-mail' field.;Field is filled in.;;;;;;;
;Click 'Odzyskaj'.;Message appears: 'Na Twój adres e-mail został wysłany link umożliwiający odzyskanie hasła.';;;;;;;
;Go to your e-mail box.;E-mail titled 'Reset hasła na platformie SvCloud' is available.;;;;;;;
;In the e-mail click link 'Odzyskaj hasło'.;User is redirected to password reset page.;;;;;;;
;In fields 'Wprowadź nowe hasło' and 'Wprowadź ponownie nowe hasło' enter the last valid password.;Fields are filled in.;;;;;;;
;Click 'Zmień hasło'.;Red exclamation mark appears in the first field.;;;;;;;
;Click on the exclamation mark.;Error message appears: 'Nowe hasło nie może być takie samo jak aktualne hasło';;;;;;;
;Enter new password in field 'Wprowadź nowe hasło'.;Field is filled in.;;;;;;;
;Enter different password in field 'Wprowadź ponownie nowe hasło'.;Field is filled in.;;;;;;;
;Click 'Zmień hasło'.;Red exclamation mark appears in the second field.;;;;;;;
;Click on the exclamation mark.;Error message appears: 'Brak zgodności pomiędzy nowym hasłem a jego powtórzeniem';;;;;;;
;Enter new password to both fields with only small letters.;Fields are filled in.;;;;;;;
;Click 'Zmień hasło'.;Red exclamation mark appears in the first field.;;;;;;;
;Click on the exclamation mark.;Error message appears: 'Nowe hasło wymaga przynajmniej jednej dużej i małej litery';;;;;;;
;Change one letter to big (keep the same password in both fields).;Fields are filled in.;;;;;;;
;Click 'Zmień hasło'.;Red exclamation mark appears in the first field.;;;;;;;
;Click on the exclamation mark.;Error message appears: 'Nowe hasło wymaga przynajmniej jednej cyfry';;;;;;;
;Change the password in both fields to: Test1;Fields are filled in.;;;;;;;
;Click 'Zmień hasło'.;Red exclamation mark appears in the first field.;;;;;;;
;Click on the exclamation mark.;Error message appears: 'Nowe hasło nie spełnia warunków długości hasła. Minimalna długość hasła to: 8 znaków.';;;;;;;
;"Change the password in both fields to one which is complient with requirements:
- at least one small and one big letter,
- at least one number,
- no less than 8 signs.";Fields are filled in.;;;;;;;
;Click 'Zmień hasło'.;Message appears: 'Twoje hasło zostało zmienione na nowe, za chwilę zostaniesz przekierowany do strony logowania.', user is redirected to login page.;;;;;;;
;Log in with new password.;User is logged in, main page is loaded.;;;;;;;
;End of test.;;;;;;;;
User login - change password;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;;;
;Log in to the system (see <link>);User is logged in.;;;;;;;
;Click on the dropdown menu in top-right corner and select 'Zmień hasło';User is redirected to password reset page.;;;;;;;
;"Verify page layout:
- password requirements,
- Adres E-mail
- Wprowadź obecne hasło,
- Wprowadź nowe hasło,
- Wprowadź ponownie nowe hasło
- checkbox: 'Pokaż hasło',
- button: 'Anuluj',
- button: 'Zmień hasło'.";It displays correctly;;;;;;;
;Verify that e-mail address cannot be edited.;Field cannot be edited.;;;;;;;
;Fill in 'Adres E-mail' field with current password.;The field is filled in.;;;;;;;
;Provide new compliant password in field 'Wprowadź obecne hasło'. ;The field is filled in.;;;;;;;
;Provide the same password in field 'Wprowadź ponownie nowe hasło';The field is filled in.;;;;;;;
;Click 'Zmień hasło'.;Message appears: 'Pomyślnie zmieniono hasło. Za chwię zostaniesz przekierowany na stronę wyboru aplikacji.';;;;;;;
;Click on the dropdown menu in top-right corner and select 'Wyloguj';User is redirected to login page.;;;;;;;
;Log in using new password.;User is logged in successfully.;;;;;;;
;End of test.;;;;;;;;
User login - change password validations;;;QA\SVCloud;QA\SVCloud\Autoryzacja;Medium;justyna.biernacka@softvig.pl;;;
;Log in to the system (see <link>);User is logged in.;;;;;;;
;Click on the drop-down menu in top-right corner and select 'Zmień hasło';User is redirected to password reset page.;;;;;;;
;Fill in 'Adres E-mail' field with invalid password.;The field is filled in.;;;;;;;
;Provide new compliant password in field 'Wprowadź obecne hasło'. ;The field is filled in.;;;;;;;
;Provide the same password in field 'Wprowadź ponownie nowe hasło';The field is filled in.;;;;;;;
;Click 'Zmień hasło'.;Error message appears: 'Błędny login lub hasło'.;;;;;;;
;Fill in 'Adres E-mail' field with current password.;The field is filled in.;;;;;;;
;In fields 'Wprowadź nowe hasło' and 'Wprowadź ponownie nowe hasło' enter current password.;Fields are filled in.;;;;;;;
;Click 'Zmień hasło'.;Red exclamation mark appears in the first field.;;;;;;;
;Click on the exclamation mark.;Error message appears: 'Nowe hasło nie może być takie samo jak aktualne hasło';;;;;;;
;Enter new password in field 'Wprowadź nowe hasło'.;Field is filled in.;;;;;;;
;Enter different password in field 'Wprowadź ponownie nowe hasło'.;Field is filled in.;;;;;;;
;Click 'Zmień hasło'.;Red exclamation mark appears in the second field.;;;;;;;
