Title;Step;Expected result;Area Path;Iteration Path;QA Priority;Assigned To;Preconditions
Blacharnia - page layout;;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;User is logged in
;In application page go to 'Blacharnia' -> 'BOK SZCZECIN'.;"""Zarządzanie szkodami"" page is displayed.";;;;;
;"Verify menu content (left side of the page):
- Zarządzanie szkodami
- Kalendarz doradców
- Kalendarz pojazdów
- Lista umów
- Myjnia
- Lista myć
- Lista szkód w toku
- Lista szkód - historia
- Panel kontrolny";It displays correctly.;;;;;
;"Verify top panel of the page:
- Doradca (drop-down list)
- Kosztorysant (drop-down list)
- button: Wyszukaj szkodę w Audanet
- button: Dodaj naprawę";It displays correctly.;;;;;
;"Verify sections visible on the page:
- BOK SZCZECIN - samochód poza ASO
- BOK SZCZECIN - samochód w ASO
- Warsztat blacharsko-lakierniczy
- Bufor
- Zewnętrznt warsztat blacharsko-lakierniczy";It displays correctly.;;;;;
;Verify if next to each section's name there is a number of assigned claims.;It displays correctly.;;;;;
;"Verify columns in section ""BOK SZCZECIN - samochód poza ASO"":
- Pierwsza wizyta
- Oględziny
- Dokumenty
- Akceptacja
- Części
- Do przyjęcia ";It displays correctly.;;;;;
;"Verify if next to each column's name there is a number of assigned claims (section ""BOK SZCZECIN - samochód poza ASO"").";It displays correctly.;;;;;
;"Verify columns in section ""BOK SZCZECIN - samochód w ASO"":
- Pierwsza wizyta
- Oględziny
- Dokumenty
- Akceptacja
- Części
- Oczek. na wydanie";It displays correctly.;;;;;
;"Verify if next to each column's name there is a number of assigned claims (section ""BOK SZCZECIN - samochód w ASO"").";It displays correctly.;;;;;
;"Verify columns in section ""Warsztat blacharsko lakierniczy"":
- Oczek. na naprawę
- Dodatek
- Części
- Naprawa mechaniczna
- Mycie
- Odbiór jakościowy
- Rozbrajanie
- Naprawa
- Przygotowanie do lakierowania
- Lakierowanie
- Zbrojenie
- Polerowanie";It displays correctly.;;;;;
;"Verify if next to each column's name there is a number of assigned claims (section ""Warsztat blacharsko lakierniczy"").";It displays correctly.;;;;;
;Verify if in section's header there is a drop-down list.;It displays correctly.;;;;;
;"Verify columns in section ""Bufor"":
- Nowe
- Zwrócone
- Przekazane";It displays correctly.;;;;;
;"Verify if next to each column's name there is a number of assigned claims (section ""Bufor"").";It displays correctly.;;;;;
;"Verify columns in section ""Zewnętrzny warsztat blacharsko lakierniczy"":
- Do wysłania
- Naprawa
- Do odbioru";It displays correctly.;;;;;
;"Verify if next to each column's name there is a number of assigned claims (section ""Zewnętrzny warsztat blacharsko lakierniczy"").";It displays correctly.;;;;;
;Verify if in section's header there is a drop-down list.;It displays correctly.;;;;;
;End of test.;;;;;;
Blacharnia - Kalendarz doradców (page layout);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded."
;On the left-side menu, go to 'Kalendarz doradców';Page 'Kalendarz doradców' is loaded.;;;;;
;"Verify left panel on the page:
- today's date in format: full day name, DD.MM.YYY
- 'Dzisiaj' button
- 'Wybierz dzień' button
- search bar (drop-down list with workers' names)
- workers' list in division per job title.";It displays correctly.;;;;;
;"Verify top panel of the page:
- button: 'Wyszukaj rezerwację'
- drop-down list with time
- toggle switch: '7 dni / 30 dni'
- toggle switch: 'Wyróżnij konflikty'
- button: 'Pokaż godziny zamknięcia'
- button: 'Sortowanie grup'";It displays correctly.;;;;;
;"Verify that below top panel calendar days are displayed:
- shortened name's day
-DD.MM";It displays correctly.;;;;;
;End of test.;;;;;;
Blacharnia - searching reservation view layout;;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded."
;On the left-side menu, go to 'Kalendarz doradców';Page 'Kalendarz doradców' is loaded.;;;;;
;"In 'Kalendarz doradców' page click ""Wyszukaj rezerwacje"".";Pop-up window 'Wyszukiwanie rezerwacji' is displayed.;;;;;
;"Verify header buttons:
- Wyczyść filtry";It displays correctly.;;;;;
;"Verify columns in section 'Rezerwacje':
- Nazwa
- Imię
- Nazwisko
- Nr rejestracyjny
- Tel. Kontaktowy
- Status (drop-down list)
- Komentarz
- Zasób
- Typ rezerwacji (drop-down list)
- Utworzył
- Od (calendar)
- Do (calendar)
- Akcje";It displays correctly.;;;;;
;"Verify if there is a search field under columns:
- Nazwa
- Imię
- Nazwisko
- Nr rejestracyjny
- Tel. Kontaktowy
- Komentarz
- Zasób
- Utworzył";It displays correctly.;;;;;
;"Verify items in 'Status' drop-down list:
- (Wszystkie)
- Oczekuje
- Rozpoczęto
- Wstrzymano
- Wykonane
- Zaplanowane";It displays correctly.;;;;;
;"In column 'Akcje', click 'Pokaż' next to any reservation to verify if:
- pop-up window 'Wyszukiwanie rezerwacji' is closed
- in 'Kalendarz doradców' selected reservation is displayed and highllighted with red frame";It displays correctly.;;;;;
;End of test.;;;;;;
Blacharnia - searching reservation (single filter);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded.
Multiple reservations are available."
;"In 'Kalendarz doradców' page click ""Wyszukaj rezerwacje"".";Pop-up window 'Wyszukiwanie rezerwacji' is displayed.;;;;;
;"Verify searching by name (column 'Nazwa'):
- in search field type in a part of customer's name";The list is filtered correctly.;;;;;
;Verify if searching by name (column 'Nazwa') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Verify sorting by name (column 'Nazwa') by clicking on column's header.;The list is sorted correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify searching by first name (column 'Imię'):
- in search field type in a part of customer's first name";The list is filtered correctly.;;;;;
;Verify if searching by first name (column 'Imię') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Verify sorting by first name (column 'Imię') by clicking on column's header.;The list is sorted correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify searching by last name (column 'Nazwisko'):
- in search field type in a part of customer's last name";The list is filtered correctly.;;;;;
;Verify if searching by last name (column 'Nazwisko') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Verify sorting by last name (column 'Nazwisko') by clicking on column's header.;The list is sorted correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify searching by registration plate (column 'Nr rejestracyjny'):
- in search field type in a part of registration plate";The list is filtered correctly.;;;;;
;Verify if searching by registration plate (column 'Nr rejestracyjny') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Verify sorting by registration plate (column 'Nr rejestracyjny') by clicking on column's header.;The list is sorted correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify searching by phone number (column 'Tel.kontaktowy'):
- in search field type in a part of phone number";The list is filtered correctly.;;;;;
;Verify sorting by phone number (column 'Tel.kontaktowy') by clicking on column's header.;The list is sorted correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify searching by status (column 'Status'):
- select any status from drop-down list";The list is filtered correctly.;;;;;
;Verify sorting by status (column 'Status') by clicking on column's header.;The list is sorted correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify searching by comment (column 'Komentarz'):
- in search field type in a part of a comment";The list is filtered correctly.;;;;;
;Verify if searching by comment (column 'Komentarz') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Verify sorting by comment (column 'Komentarz') by clicking on column's header.;The list is sorted correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify searching by resource (column 'Zasób'):
- in search field type in a part of a resource";The list is filtered correctly.;;;;;
;Verify if searching by resource (column 'Zasób') is NOT case sensitive (e.g. type in in small letters).;The list is filtered correctly.;;;;;
;Verify sorting by resource (column 'Zasób') by clicking on column's header.;The list is sorted correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify searching by reservation type (column 'Typ rezerwacji'):
- select any type from drop-down list";The list is filtered correctly.;;;;;
;Verify sorting by reservation type (column 'Typ rezerwacji') by clicking on column's header.;The list is sorted correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify searching by who created reservation  (column 'Utworzył'):
- in search field type in a part of worker's first name/last name";The list is filtered correctly.;;;;;
;Verify if searching by who created reservation  (column 'Utworzył') is NOT case sensitive (e.g. type in in capital letters).;The list is filtered correctly.;;;;;
;Verify sorting by who created reservation  (column 'Utworzył') by clicking on column's header.;The list is sorted correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify searching by 'from' date (column 'Od'):
- select any date";The list is filtered correctly.;;;;;
;Verify sorting by 'from' date (column 'Od') by clicking on column's header.;The list is sorted correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;"Verify searching by 'to' date (column 'Do'):
- select any date";The list is filtered correctly.;;;;;
;Verify sorting by 'from' date (column 'Do') by clicking on column's header.;The list is sorted correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;End of test.;;;;;;
Blacharnia - searching reservation (multiple filters);;;QA\SVCloud;QA\SVCloud\Blacharnia;Medium;justyna.biernacka@softvig.pl;"User is logged in
Blacharnia page is loaded.
Multiple reservations are available."
;"In 'Kalendarz doradców' page click ""Wyszukaj rezerwacje"".";Pop-up window 'Wyszukiwanie rezerwacji' is displayed.;;;;;
;Filter data by first name.;The list is filtered correctly.;;;;;
;Add filtering by last name.;The list is filtered correctly.;;;;;
;Add filtering by date.;The list is filtered correctly.;;;;;
;Click 'Wyczyść filtry' to clear applied filters.;Filters have been removed.;;;;;
;End of test.;;;;;;
