Title;Step;Expected result;Area Path;Iteration Path;QA Priority;Assigned To;Preconditions
Myjnia - page layout;;;QA\SVCloud;QA\SVCloud\Myjnia;Medium;justyna.biernacka@softvig.pl;User is logged in
;In application page go to 'Myjnia' -> 'Myjnia automatyczna'.;Carwash calendar page is displayed.;;;;;
;"Verify menu content (left side of the page):
- Kalendarz myjni
- Lista myć";It displays correctly.;;;;;
;"Verify left panel on the page:
- today's date in format: full day name, DD.MM.YYY
- 'Dzisiaj' button
- 'Wybierz dzień' button
- hours (blocks of half an hour)";It displays correctly.;;;;;
;"Verify top panel of the page:
- button: 'Wyszukaj rezerwację'";It displays correctly.;;;;;
;"Verify that below top panel calendar days are displayed:
- shortened name's day
-DD.MM
- time usage/availability";It displays correctly.;;;;;
;"Verify if below days' panel there is a bar with data per day selected in above panel:
- full day's name
- DD.MM
- time usage/availability
- number of events planned for this day";It displays correctly.;;;;;
;End of test;;;;;;
Myjnia - add reservation (form layout);;;QA\SVCloud;QA\SVCloud\Myjnia;Medium;justyna.biernacka@softvig.pl;"User is logged in.
Myjnia page is loaded"
;In top panel of the carwash calendar, click on next Monday.;Calendar is switched to selected day.;;;;;
;In the main window of the calendar, click on the field next to any available hour (e.g. 10:00).;Pop-up window 'Dodaj rezerwację' is displayed.;;;;;
;"Verify section ""Rezerwacja"":
- Typ (drop-down list)
- Dział, dla którego jest mycie (drop-down list, items depending on configuration)
- Program mycia (drop-down list, items depending on configuration)
- Data (non-editable, prefilled with selected date)
- Godzina od (non-editable, prefilled with selected hour)
- Godzina do (non-editable, prefilled depening on selection in 'Program mycia' field).";It displays correctly.;;;;;
;"Verify section ""Uwagi"":
- Treść (text field).";It displays correctly.;;;;;
;"Verify section ""Pojazd"":
- button: Wyczyść
- Numer rejestracyjny
- Nr VIN
- Rodzaj (drop-down list)
- Marka
- Model";It displays correctly.;;;;;
;"Verify section ""Kontakt"":
- Imię
- Nazwisko
- Prefix
- Numer telefonu
- E-mail";It displays correctly.;;;;;
;End of test.;;;;;;
Myjnia - add reservation;;;QA\SVCloud;QA\SVCloud\Myjnia;Medium;justyna.biernacka@softvig.pl;"User is logged in.
Myjnia page is loaded"
